num,year_grade,book,chapter_num,chapter_name,section_num,section_name,knowledge_points
19,8,1,5,生物的恆定性,3,血糖的恆定,血糖恆定、血糖調節激素、血糖與肝糖代謝、胰臟功能
20,8,1,5,生物的恆定性,4,排泄作用與水分的恆定,排泄作用與代謝廢物、泌尿系統構造與功能、含氮廢物種類與代謝、水分恆定與散失防禦
21,8,2,1,生殖,1,細胞的分裂,細胞分裂、減數分裂、染色體、染色體套數、配子、子細胞
22,8,2,1,生殖,2,無性生殖,生殖方式、無性生殖、植物營養繁殖、遺傳變異
23,8,2,1,生殖,3,有性生殖,有性生殖、無性生殖、植物生殖系統、動物生殖系統、受精與發育
24,8,2,2,遺傳,1,解開遺傳的奧祕,性狀、等位基因、顯性與隱性、基因型與表現型、孟德爾遺傳法則、染色體
25,8,2,2,遺傳,2,人類的遺傳,血型遺傳、性染色體、性別決定方式
26,8,2,2,遺傳,3,突變,遺傳、基因突變、遺傳疾病、近親結婚
27,8,2,2,遺傳,4,生物技術的應用,生物技術、基因轉殖、生物複製、遺傳物質、基因改造生物
28,8,2,3,地球上的生物,1,持續改變的生命,生物演化、化石定義與形成、化石應用、地層與化石年代
29,8,2,3,地球上的生物,2,生物的命名與分類,病毒特性、生物分類階層、生物學名、種的定義、親緣關係判斷
30,8,2,3,地球上的生物,3,原核生物與原生生物,生物界分類、原核生物特性、原生生物特性、藻類特性、病毒特性
31,8,2,3,地球上的生物,4,真菌界,真菌界、真菌細胞構造、真菌營養代謝、真菌繁殖、真菌應用危害
32,8,2,3,地球上的生物,5,植物界,植物分類、維管束、生殖構造、單雙子葉植物特徵
33,8,2,3,地球上的生物,6,動物界,動物分類、動物構造與功能、生殖與發育、體溫調節、生物演化與親緣關係
34,8,2,4,生態系,1,生物生存的環境,族群、族群數量估計、族群動態、生物群集、生態系、生物圈
35,8,2,4,生態系,2,能量的流動與物質的循環,食物網與食物鏈、生態系角色、能量流動、碳循環、水循環
36,8,2,4,生態系,3,生物的交互關係,互利共生、片利共生、寄生、捕食、競爭、族群數量變化、生物防治
37,8,2,4,生態系,4,多采多姿的生態系,生態系分類、生物與環境適應、生產者與消費者、生物多樣性
38,8,2,5,人類與環境,1,生物多樣性的重要性與危機,生物放大作用、生物多樣性、生態系穩定性、環境汙染、全球氣候變遷、棲地破壞、外來種入侵
39,8,2,5,人類與環境,2,維護生物多樣性,生態保育、生態平衡、環境汙染、永續發展、國際公約、棲地保護
40,9,3,0,科學方法跟實驗室守則,1,科學方法跟實驗室守則,實驗室安全守則、實驗器材操作與用途、酒精燈使用、化學藥品處理、實驗廢棄物處理
41,9,3,1,基本測量,1,長度與體積的測量,測量結果的表示、測量工具與操作、體積測量方法、測量單位與換算、測量誤差與精確度
42,9,3,1,基本測量,2,質量與密度的測量,質量、體積、密度、測量工具、測量操作、物質密度特性
43,9,3,2,物質的世界,1,認識物質,純物質與混合物、物質分離方法、物理化學性質、物理化學變化、物質三態
44,9,3,2,物質的世界,2,水溶液,溶液組成、濃度計算、溶解度與飽和溶液、擴散作用
45,9,3,2,物質的世界,3,空氣的組成,空氣組成、氣體性質、氧氣製備與檢驗、二氧化碳製備與檢驗、氣體收集法、鈍氣
46,9,3,3,波動與聲音,1,波的傳播,波的分類、波的傳播特性、波的要素計算
47,9,3,3,波動與聲音,2,聲波的產生與傳播,聲音產生、聲音傳播、聲波種類、聲音性質
48,9,3,3,波動與聲音,3,聲波的反射與超聲波,聲波的反射與回聲、超聲波的應用、聽覺頻率範圍、聲速與距離測量
49,9,3,3,波動與聲音,4,多變的聲音,振源、音調、響度、音色、聲速
50,9,3,4,光,1,光的傳播與光速,光的直進性、針孔成像、光速、光介質傳播、聲波傳播
51,9,3,4,光,2,光的反射與面鏡,光的反射定律、平面鏡成像、凹面鏡、凸面鏡
52,9,3,4,光,3,光的折射與透鏡,光的折射、透鏡、成像性質、光的反射
53,9,3,4,光,4,光學儀器,透鏡光學性質、透鏡成像、光學儀器、眼睛與視覺矯正
54,9,3,4,光,5,色光與顏色,光的色散、光的三原色、物體顯色原理、濾光片
55,9,3,5,溫度與熱,1,溫度與溫度計,溫度定義、溫度計原理、溫度計種類與構造、溫標、溫度測量計算
56,9,3,5,溫度與熱,2,熱量與比熱,比熱、熱量、溫度、熱傳播、熱平衡
57,9,3,5,溫度與熱,3,熱對物質的影響,熱脹冷縮、水的特殊熱性質、物質三態變化、比熱、吸放熱、物理化學變化
58,9,3,5,溫度與熱,4,熱的傳播方式,熱傳導、熱對流、熱輻射、導熱特性、顏色與熱吸收、保溫隔熱
59,9,3,6,探索物質組成,1,元素的探索,金屬與非金屬性質、元素定義與分類、元素命名與符號、碳的同素異形體、特定元素性質
60,9,3,6,探索物質組成,2,元素週期表,週期表結構、元素資訊、週期表發展、元素性質分類、金屬活性、鹼金屬特性
61,9,3,6,探索物質組成,3,化合物與原子概念的發展,道耳頓原子說、原子模型、原子結構、基本粒子、原子序與質量數、元素與化合物
62,9,3,6,探索物質組成,4,分子與化學式,物質分類、原子與分子概念、化學式與分子模型、物質性質判斷
63,9,4,1,化學反應,1,質量守恆,質量守恆定律、化學反應現象、實驗系統、反應物生成物質量
64,9,4,1,化學反應,2,化學反應的微觀世界,原子量與分子量、莫耳、化學反應式平衡、分子式與組成、質量守恆定律
65,9,4,2,氧化與還原,1,氧化反應,氧化反應、金屬對氧活性、氧化物性質、物質燃燒特性
66,9,4,2,氧化與還原,2,氧化與還原反應,氧化還原反應、元素活性、活性順序判斷與反應預測、金屬冶煉、生活中的氧化還原現象
67,9,4,3,電解質及酸鹼反應,1,認識電解質,電解質與非電解質、溶液導電性測試、解離作用與離子特性、電解質水溶液性質
68,9,4,3,電解質及酸鹼反應,2,常見的酸、鹼性物質,酸的性質、鹼的性質、酸與金屬反應、酸與碳酸鹽反應、酸鹼水溶液導電性、酸鹼安全處理
69,9,4,3,電解質及酸鹼反應,3,酸鹼的濃度,酸鹼指示劑、pH值、酸鹼性質
70,9,4,3,電解質及酸鹼反應,4,酸鹼中和,酸鹼中和、pH值與指示劑、鹽類
71,9,4,4,反應速率與平衡,1,反應速率,反應速率、影響反應速率的因素、催化劑、反應物活性
72,9,4,4,反應速率與平衡,2,可逆反應與平衡,動態平衡、可逆反應、反應速率、勒沙特列原理、飽和溶液、密閉系統
73,9,4,5,有機化合物,1,認識有機化合物,有機化合物定義與特性、有機化合物分類與辨識、有機化合物燃燒與檢測
74,9,4,5,有機化合物,2,常見的有機化合物,有機化合物基本概念、烴類、醇類、有機酸、酯類、酯化反應、石化燃料
75,9,4,5,有機化合物,3,肥皂與清潔劑,皂化反應、肥皂製造輔助物質、肥皂特性、清潔劑分類
76,9,4,5,有機化合物,4,生活中的有機聚合物,聚合物、熱塑性與熱固性聚合物、天然與合成聚合物、纖維、生物聚合物
77,9,4,6,力與壓力,1,力與平衡,力的分類、力的效應、力的三要素、力的單位、合力與力的平衡、彈簧測力原理、重力與重量
78,9,4,6,力與壓力,2,摩擦力,摩擦力種類、摩擦力大小、摩擦力影響因素、摩擦力應用、摩擦力實驗
79,9,4,6,力與壓力,3,壓力,壓力、液體壓力、大氣壓力、壓力單位
80,9,4,6,力與壓力,4,浮力,浮力、阿基米德原理、浮沉判斷、密度
81,10,5,1,直線運動,1,時間的測量,時間測量工具與原理、標準時間單位、單擺特性、單擺週期影響因素、週期與頻率
82,10,5,1,直線運動,2,位移與路徑長,位置與參考點、位移與路徑長
83,10,5,1,直線運動,3,速率與速度,物理量定義與分類、運動量計算、等速度運動特性
84,10,5,1,直線運動,4,加速度與等加速度運動,運動學基本物理量、等加速度直線運動、自由落體運動、打點計時器與運動記錄
85,10,5,2,力與運動,1,牛頓第一運動定律,牛頓第一運動定律、慣性、合力、平衡
86,10,5,2,力與運動,2,牛頓第二運動定律,牛頓第二運動定律、力、質量、加速度、摩擦力、運動狀態
87,10,5,2,力與運動,3,牛頓第三運動定律,牛頓第三運動定律、作用力與反作用力、力的平衡、牛頓第二運動定律
88,10,5,2,力與運動,4,圓周運動與萬有引力,質量與重量、萬有引力定律、圓周運動與向心力、作用力與反作用力
89,10,5,3,功與能,1,功與功率,功、功率、能量轉換
90,10,5,3,功與能,2,動能、位能與能量守恆,動能、位能、能量守恆、能量轉換
91,10,5,3,功與能,3,槓桿原理與靜力平衡,力矩、靜力平衡、槓桿原理、力臂、力與轉動效果
92,10,5,3,功與能,4,簡單機械,槓桿、滑輪、輪軸、斜面、螺旋、力矩
93,10,5,4,基本的靜電現象與電路,1,靜電現象,靜電現象、電荷特性、導體與絕緣體、起電方式、靜電力與庫侖定律
94,10,5,4,基本的靜電現象與電路,2,電流,電路連接判斷與特性、電流定義與方向、安培計操作、電量與電流計算
95,10,5,4,基本的靜電現象與電路,3,電壓,電壓、電流、電池連接方式、電路連接方式、電壓測量儀器、燈泡亮度判斷
96,10,5,4,基本的靜電現象與電路,4,電阻與歐姆定律,導體與絕緣體、電阻特性、歐姆定律、串聯與並聯電路、電路測量與儀器
97,10,5,5,水與陸地,1,地球上的水,水資源分布、水循環、地下水、海水特性、水資源管理與問題
98,10,5,5,水與陸地,2,地貌的改變與平衡,風化作用、侵蝕作用、搬運作用、沉積作用、地形與地質營力
99,10,5,5,水與陸地,3,地球上的岩石,礦物性質與鑑定、岩石分類與形成、火成岩特徵、沉積岩特徵、變質岩特徵、碳酸鹽岩石與酸反應
100,10,5,6,板塊運動與地球歷史,1,地球構造與板塊運動,地球內部構造、板塊運動、板塊交界地形、地球探測方法
101,10,5,6,板塊運動與地球歷史,2,岩層記錄的地球歷史,化石、地殼變動、斷層、褶皺、地質時代、地質事件順序
102,10,5,6,板塊運動與地球歷史,3,臺灣的板塊和地震,板塊構造、地質活動、岩石類型與分布、地震概念
103,10,5,7,運動中的天體,1,我們的宇宙,太陽系行星、天體發光原理、宇宙層級與尺度
104,10,5,7,運動中的天體,2,轉動的地球,地球運動、二十四節氣、晝夜長短、太陽仰角與輻射
105,10,5,7,運動中的天體,3,日地月相對運動,潮汐現象、日食月食、月相變化、地球月球太陽相對運動
106,10,5,8,能源,1,認識能源,能量、能源分類、化石燃料、核能、發電方式、能源的環境影響
107,10,5,8,能源,2,能源的發展與應用,發電方式、環境汙染、再生能源、非再生能源、發電原理、能源效率
108,10,6,1,電的應用,1,電流的熱效應與電能,電學基本單位、電能、電壓與電量、電功率、電流熱效應、電能轉換與耗損
109,10,6,1,電的應用,2,電與生活,交流電與直流電、電能與電費、電路異常、用電安全裝置、觸電、電力輸送
110,10,6,1,電的應用,3,電池,電池種類、電池原理、電池反應、鹽橋功能、充電與放電、電池串並聯
111,10,6,1,電的應用,4,電流的化學效應,電解水原理與產物、電鍍原理與應用、電極極性與反應、能量轉換、電解液
112,10,6,2,電流與磁現象,1,磁鐵與磁場,磁鐵、磁極、磁場、磁力線、磁化、羅盤、地磁
113,10,6,2,電流與磁現象,2,電流的磁效應,電流磁效應、安培右手定則、長直導線磁場、螺旋線圈磁場、磁場強度影響因素、磁力作用
114,10,6,2,電流與磁現象,3,電流磁效應的應用,電磁鐵、電磁鐵應用、馬達構造、馬達運轉控制
115,10,6,2,電流與磁現象,4,電流與磁場的交互作用,電流磁效應、載流導線磁力、右手開掌定則、平行載流導線交互作用、電動機原理
116,10,6,2,電流與磁現象,5,電磁感應,電磁感應原理、感應電流特性、電磁學應用裝置、電磁學科學家
117,10,6,3,千變萬化的天氣,1,大氣的組成和結構,大氣垂直分層、大氣主要成分、臭氧層、天氣現象、大氣功能
118,10,6,3,千變萬化的天氣,2,天氣變化,天氣與氣候、氣象要素、大氣壓力、高低氣壓系統與氣流、水氣凝結現象
119,10,6,3,千變萬化的天氣,3,氣團和鋒面,氣團類型與性質、季風影響、鋒面種類與天氣、臺灣季節氣候特徵、降水現象與成因、地形對氣候的影響、天氣圖判讀
120,10,6,3,千變萬化的天氣,4,臺灣的氣象災害,梅雨、颱風、天氣系統、水資源與降雨特性、坡地災害、天氣圖判讀
121,10,6,4,全球氣候變遷與因應,1,海氣的交互作用與影響,洋流、海洋與大氣交互作用、海洋酸化、全球暖化
122,10,6,4,全球氣候變遷與因應,2,氣候變遷的減緩與調適,氣候變遷、溫室氣體、溫室效應、氣候變遷衝擊、氣候變遷因應對策
